date,cloudcover,day_of_week,label
1992-05-05,96.3,Tuesday,Weekday
1992-05-06,28.3,Wednesday,Weekday
1992-05-07,81.6,Thursday,Weekday
1992-05-08,99.7,Friday,Weekday
1992-05-09,69.5,Saturday,Weekend
1992-05-10,98.3,Sunday,Weekend
1992-05-11,34.4,Monday,Weekday
1992-05-12,47.1,Tuesday,Weekday
1992-05-13,78.4,Wednesday,Weekday
1992-05-14,64.9,Thursday,Weekday
1992-05-15,85.6,Friday,Weekday
1992-05-16,100.0,Saturday,Weekend
1992-05-17,75.2,Sunday,Weekend
1992-05-18,89.3,Monday,Weekday
1992-05-19,18.5,Tuesday,Weekday
1992-05-20,1.3,Wednesday,Weekday
1992-05-21,6.3,Thursday,Weekday
1992-05-22,25.9,Friday,Weekday
1992-05-23,0.3,Saturday,Weekend
1992-05-24,44.3,Sunday,Weekend
1992-05-25,100.0,Monday,Weekday
1992-05-26,93.8,Tuesday,Weekday
1992-05-27,87.7,Wednesday,Weekday
1992-05-28,25.5,Thursday,Weekday
1992-05-29,18.2,Friday,Weekday
1992-05-30,68.8,Saturday,Weekend
1992-05-31,100.0,Sunday,Weekend
1992-06-01,96.9,Monday,Weekday
1992-06-02,77.4,Tuesday,Weekday
1992-06-03,8.6,Wednesday,Weekday
1992-06-04,54.1,Thursday,Weekday
1992-06-05,100.0,Friday,Weekday
1992-06-06,72.3,Saturday,Weekend
1992-06-07,68.8,Sunday,Weekend
1992-06-08,92.0,Monday,Weekday
1992-06-09,89.1,Tuesday,Weekday
1992-06-10,32.9,Wednesday,Weekday
1992-06-11,12.0,Thursday,Weekday
1992-06-12,1.9,Friday,Weekday
1992-06-13,13.4,Saturday,Weekend
1992-06-14,44.8,Sunday,Weekend
1992-06-15,47.2,Monday,Weekday
1992-06-16,75.0,Tuesday,Weekday
1992-06-17,40.4,Wednesday,Weekday
1992-06-18,25.3,Thursday,Weekday
1992-06-19,96.2,Friday,Weekday
1992-06-20,93.6,Saturday,Weekend
1992-06-21,57.4,Sunday,Weekend
1992-06-22,73.8,Monday,Weekday
1992-06-23,48.9,Tuesday,Weekday
1992-06-24,96.9,Wednesday,Weekday
1992-06-25,45.7,Thursday,Weekday
1992-06-26,55.0,Friday,Weekday
1992-06-27,82.3,Saturday,Weekend
1992-06-28,23.5,Sunday,Weekend
1992-06-29,17.8,Monday,Weekday
1992-06-30,84.8,Tuesday,Weekday
1992-07-01,67.4,Wednesday,Weekday
1992-07-02,27.1,Thursday,Weekday
1992-07-03,72.6,Friday,Weekday
1992-07-04,89.9,Saturday,Weekend
1992-07-05,87.6,Sunday,Weekend
1992-07-06,87.4,Monday,Weekday
1992-07-07,42.8,Tuesday,Weekday
1992-07-08,48.8,Wednesday,Weekday
1992-07-09,77.8,Thursday,Weekday
1992-07-10,49.9,Friday,Weekday
1992-07-11,59.3,Saturday,Weekend
1992-07-12,79.0,Sunday,Weekend
1992-07-13,76.7,Monday,Weekday
1992-07-14,52.1,Tuesday,Weekday
1992-07-15,74.0,Wednesday,Weekday
1992-07-16,92.0,Thursday,Weekday
1992-07-17,100.0,Friday,Weekday
1992-07-18,80.7,Saturday,Weekend
1992-07-19,50.0,Sunday,Weekend
