date,cloudcover,day_of_week,label
1993-09-26,88.0,Sunday,Weekend
1993-09-27,90.9,Monday,Weekday
1993-09-28,19.2,Tuesday,Weekday
1993-09-29,20.9,Wednesday,Weekday
1993-09-30,69.9,Thursday,Weekday
1993-10-01,10.2,Friday,Weekday
1993-10-02,24.4,Saturday,Weekend
1993-10-03,52.8,Sunday,Weekend
1993-10-04,1.2,Monday,Weekday
1993-10-05,17.2,Tuesday,Weekday
1993-10-06,0.6,Wednesday,Weekday
1993-10-07,11.4,Thursday,Weekday
1993-10-08,79.4,Friday,Weekday
1993-10-09,43.1,Saturday,Weekend
1993-10-10,44.6,Sunday,Weekend
1993-10-11,27.9,Monday,Weekday
1993-10-12,92.4,Tuesday,Weekday
1993-10-13,21.8,Wednesday,Weekday
1993-10-14,68.7,Thursday,Weekday
1993-10-15,80.5,Friday,Weekday
1993-10-16,80.7,Saturday,Weekend
1993-10-17,99.3,Sunday,Weekend
1993-10-18,41.8,Monday,Weekday
1993-10-19,66.1,Tuesday,Weekday
1993-10-20,100.0,Wednesday,Weekday
1993-10-21,99.8,Thursday,Weekday
1993-10-22,45.1,Friday,Weekday
1993-10-23,5.5,Saturday,Weekend
1993-10-24,22.9,Sunday,Weekend
1993-10-25,7.9,Monday,Weekday
1993-10-26,92.2,Tuesday,Weekday
1993-10-27,80.2,Wednesday,Weekday
1993-10-28,70.4,Thursday,Weekday
